state,total_votes
Delaware,504010
District of Columbia,344356
Florida,11067456
Georgia,4998566
Hawaii,574469
Idaho,868105
Illinois,6017502
Indiana,3035088
Iowa,1688310
Kansas,1333804
Kentucky,2136768
Louisiana,2148062
Maine,816428
Maryland,3019064
Massachusetts,3631473
Michigan,5544102
Minnesota,3277270
Mississippi,1315240
Missouri,3029586
Montana,605750
Nebraska,952271
Nevada,1405376
New Hampshire,804430
New Jersey,4565757
New Mexico,923965
New York,7170577
North Carolina,5524813
North Dakota,361819
Ohio,5929361
Oklahoma,1560699
Oregon,2385927
Pennsylvania,6924006
Rhode Island,517757
South Carolina,2513329
South Dakota,422609
Tennessee,3049514
Texas,11323985
Utah,1488289
Vermont,367428
Virginia,4460524
Washington,4060294
West Virginia,794204
Wisconsin,3297434
Wyoming,276765
Alabama,2323282
Alaska,358802
Arkansas,1219014
California,17433160
Colorado,3256650
Connecticut,1824317
United States,156837612
Arizona,3385845
